DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
1	-1	1	-1	1
2	-1	1	-1	1
3	-0.666666666666667	0.666666666666667	-1	1
4	-0.75	0.75	-1	1
5	-0.6	0.6	-0.8	0.8
6	-0.666666666666667	0.666666666666667	-0.833333333333333	0.833333333333333
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714
8	-0.5	0.5	-0.625	0.625
9	-0.444444444444444	0.444444444444444	-0.666666666666667	0.666666666666667
10	-0.5	0.5	-0.6	0.6
11	-0.454545454545455	0.454545454545455	-0.545454545454546	0.636363636363636
12	-0.416666666666667	0.416666666666667	-0.583333333333333	0.583333333333333
13	-0.461538461538462	0.461538461538462	-0.538461538461539	0.538461538461539
14	-0.428571428571429	0.428571428571429	-0.571428571428571	0.571428571428571
15	-0.4	0.4	-0.533333333333333	0.533333333333333
16	-0.375	0.375	-0.5	0.5
17	-0.411764705882353	0.411764705882353	-0.529411764705882	0.529411764705882
18	-0.388888888888889	0.388888888888889	-0.5	0.5
19	-0.368421052631579	0.368421052631579	-0.473684210526316	0.473684210526316
20	-0.35	0.4	-0.45	0.5
21	-0.380952380952381	0.380952380952381	-0.476190476190476	0.476190476190476
22	-0.363636363636364	0.363636363636364	-0.454545454545455	0.454545454545455
23	-0.347826086956522	0.347826086956522	-0.434782608695652	0.478260869565217
24	-0.333333333333333	0.333333333333333	-0.458333333333333	0.458333333333333
25	-0.36	0.36	-0.44	0.44
26	-0.346153846153846	0.346153846153846	-0.461538461538462	0.461538461538462
27	-0.333333333333333	0.333333333333333	-0.444444444444444	0.444444444444444
28	-0.321428571428571	0.321428571428571	-0.428571428571429	0.428571428571429
29	-0.344827586206897	0.344827586206897	-0.413793103448276	0.448275862068966
30	-0.333333333333333	0.333333333333333	-0.433333333333333	0.433333333333333
31	-0.32258064516129	0.32258064516129	-0.451612903225806	0.419354838709677
32	-0.3125	0.3125	-0.4375	0.4375
33	-0.303030303030303	0.303030303030303	-0.424242424242424	0.424242424242424
34	-0.323529411764706	0.323529411764706	-0.411764705882353	0.411764705882353
35	-0.314285714285714	0.342857142857143	-0.4	0.4
36	-0.305555555555556	0.333333333333333	-0.416666666666667	0.416666666666667
37	-0.324324324324324	0.324324324324324	-0.405405405405405	0.405405405405405
38	-0.315789473684211	0.315789473684211	-0.421052631578947	0.421052631578947
39	-0.307692307692308	0.307692307692308	-0.41025641025641	0.41025641025641
40	-0.3	0.3	-0.4	0.375
41	-0.292682926829268	0.292682926829268	-0.414634146341463	0.390243902439024
42	-0.30952380952381	0.30952380952381	-0.380952380952381	0.404761904761905
43	-0.302325581395349	0.302325581395349	-0.395348837209302	0.418604651162791
44	-0.295454545454546	0.295454545454545	-0.386363636363636	0.386363636363636
45	-0.288888888888889	0.288888888888889	-0.4	0.377777777777778
46	-0.304347826086956	0.282608695652174	-0.391304347826087	0.369565217391304
47	-0.297872340425532	0.297872340425532	-0.382978723404255	0.382978723404255
48	-0.291666666666667	0.291666666666667	-0.375	0.375
49	-0.285714285714286	0.285714285714286	-0.36734693877551	0.36734693877551
50	-0.28	0.3	-0.38	0.38
51	-0.294117647058823	0.294117647058824	-0.372549019607843	0.392156862745098
52	-0.288461538461538	0.288461538461538	-0.365384615384615	0.384615384615385
53	-0.283018867924528	0.283018867924528	-0.358490566037736	0.377358490566038
54	-0.296296296296296	0.296296296296296	-0.37037037037037	0.37037037037037
55	-0.290909090909091	0.290909090909091	-0.381818181818182	0.363636363636364
56	-0.285714285714286	0.285714285714286	-0.375	0.375
57	-0.280701754385965	0.280701754385965	-0.368421052631579	0.350877192982456
58	-0.293103448275862	0.293103448275862	-0.379310344827586	0.362068965517241
59	-0.288135593220339	0.271186440677966	-0.355932203389831	0.355932203389831
60	-0.283333333333333	0.283333333333333	-0.366666666666667	0.35
61	-0.278688524590164	0.278688524590164	-0.377049180327869	0.377049180327869
62	-0.274193548387097	0.290322580645161	-0.370967741935484	0.387096774193548
63	-0.26984126984127	0.26984126984127	-0.349206349206349	0.365079365079365
64	-0.28125	0.28125	-0.359375	0.359375
65	-0.276923076923077	0.276923076923077	-0.353846153846154	0.369230769230769
66	-0.272727272727273	0.272727272727273	-0.348484848484849	0.348484848484849
67	-0.268656716417911	0.283582089552239	-0.358208955223881	0.358208955223881
68	-0.279411764705882	0.279411764705882	-0.352941176470588	0.367647058823529
69	-0.27536231884058	0.27536231884058	-0.347826086956522	0.36231884057971
70	-0.271428571428571	0.271428571428571	-0.342857142857143	0.357142857142857
71	-0.267605633802817	0.267605633802817	-0.352112676056338	0.352112676056338
72	-0.277777777777778	0.263888888888889	-0.361111111111111	0.361111111111111
73	-0.273972602739726	0.26027397260274	-0.342465753424658	0.356164383561644
74	-0.27027027027027	0.27027027027027	-0.351351351351351	0.351351351351351
75	-0.266666666666667	0.266666666666667	-0.36	0.346666666666667
76	-0.263157894736842	0.263157894736842	-0.355263157894737	0.342105263157895
77	-0.272727272727273	0.25974025974026	-0.337662337662338	0.350649350649351
78	-0.269230769230769	0.269230769230769	-0.358974358974359	0.346153846153846
79	-0.265822784810127	0.278481012658228	-0.354430379746835	0.354430379746835
80	-0.275	0.2625	-0.35	0.3375
81	-0.259259259259259	0.259259259259259	-0.333333333333333	0.345679012345679
82	-0.268292682926829	0.268292682926829	-0.365853658536585	0.341463414634146
83	-0.265060240963855	0.265060240963855	-0.349397590361446	0.337349397590361
84	-0.261904761904762	0.261904761904762	-0.357142857142857	0.345238095238095
85	-0.258823529411765	0.258823529411765	-0.341176470588235	0.341176470588235
86	-0.267441860465116	0.255813953488372	-0.36046511627907	0.337209302325581
87	-0.264367816091954	0.264367816091954	-0.344827586206897	0.333333333333333
88	-0.261363636363636	0.261363636363636	-0.352272727272727	0.352272727272727
89	-0.258426966292135	0.258426966292135	-0.348314606741573	0.337078651685393
90	-0.255555555555556	0.266666666666667	-0.344444444444444	0.344444444444444
91	-0.263736263736264	0.263736263736264	-0.351648351648352	0.340659340659341
92	-0.260869565217391	0.271739130434783	-0.33695652173913	0.347826086956522
93	-0.258064516129032	0.258064516129032	-0.344086021505376	0.333333333333333
94	-0.25531914893617	0.265957446808511	-0.340425531914894	0.340425531914894
95	-0.252631578947368	0.263157894736842	-0.347368421052632	0.336842105263158
96	-0.260416666666667	0.260416666666667	-0.333333333333333	0.34375
97	-0.268041237113402	0.257731958762887	-0.34020618556701	0.34020618556701
98	-0.255102040816327	0.255102040816327	-0.336734693877551	0.336734693877551
99	-0.252525252525253	0.262626262626263	-0.323232323232323	0.343434343434343
100	-0.25	0.25	-0.34	0.33
101	-0.257425742574257	0.257425742574257	-0.346534653465347	0.336633663366337
102	-0.264705882352941	0.254901960784314	-0.343137254901961	0.343137254901961
103	-0.262135922330097	0.262135922330097	-0.339805825242719	0.339805825242718
104	-0.259615384615385	0.259615384615385	-0.336538461538462	0.336538461538462
105	-0.257142857142857	0.257142857142857	-0.333333333333333	0.342857142857143
106	-0.264150943396226	0.254716981132075	-0.339622641509434	0.330188679245283
107	-0.252336448598131	0.252336448598131	-0.336448598130841	0.327102803738318
108	-0.25	0.25	-0.333333333333333	0.333333333333333
109	-0.247706422018349	0.247706422018349	-0.330275229357798	0.339449541284404
110	-0.263636363636364	0.254545454545455	-0.345454545454545	0.336363636363636
111	-0.252252252252252	0.252252252252252	-0.324324324324324	0.333333333333333
112	-0.25	0.258928571428571	-0.330357142857143	0.339285714285714
113	-0.256637168141593	0.256637168141593	-0.336283185840708	0.336283185840708
114	-0.254385964912281	0.254385964912281	-0.342105263157895	0.324561403508772
115	-0.252173913043478	0.252173913043478	-0.330434782608696	0.330434782608696
116	-0.258620689655172	0.25	-0.336206896551724	0.327586206896552
117	-0.247863247863248	0.256410256410256	-0.324786324786325	0.341880341880342
118	-0.254237288135593	0.254237288135593	-0.330508474576271	0.330508474576271
119	-0.260504201680672	0.252100840336134	-0.327731092436975	0.319327731092437
120	-0.25	0.25	-0.325	0.333333333333333
121	-0.256198347107438	0.256198347107438	-0.330578512396694	0.330578512396694
122	-0.245901639344262	0.254098360655738	-0.327868852459016	0.336065573770492
123	-0.252032520325203	0.252032520325203	-0.32520325203252	0.333333333333333
124	-0.25	0.25	-0.32258064516129	0.330645161290323
125	-0.248	0.248	-0.328	0.328
126	-0.246031746031746	0.253968253968254	-0.325396825396825	0.333333333333333
127	-0.251968503937008	0.244094488188976	-0.330708661417323	0.31496062992126
128	-0.2578125	0.25	-0.3359375	0.328125
129	-0.248062015503876	0.248062015503876	-0.333333333333333	0.317829457364341
130	-0.253846153846154	0.246153846153846	-0.330769230769231	0.323076923076923
131	-0.244274809160305	0.251908396946565	-0.320610687022901	0.320610687022901
132	-0.25	0.25	-0.325757575757576	0.318181818181818
133	-0.255639097744361	0.24812030075188	-0.330827067669173	0.323308270676692
134	-0.246268656716418	0.246268656716418	-0.32089552238806	0.32089552238806
135	-0.251851851851852	0.244444444444444	-0.333333333333333	0.311111111111111
136	-0.25	0.25	-0.330882352941177	0.323529411764706
137	-0.248175182481752	0.255474452554744	-0.321167883211679	0.328467153284671
138	-0.246376811594203	0.239130434782609	-0.326086956521739	0.318840579710145
139	-0.251798561151079	0.251798561151079	-0.338129496402878	0.330935251798561
140	-0.25	0.242857142857143	-0.328571428571429	0.328571428571429
141	-0.24822695035461	0.24113475177305	-0.312056737588653	0.319148936170213
142	-0.246478873239437	0.246478873239437	-0.323943661971831	0.323943661971831
143	-0.244755244755245	0.244755244755245	-0.321678321678322	0.314685314685315
144	-0.25	0.25	-0.326388888888889	0.319444444444444
145	-0.248275862068965	0.248275862068965	-0.324137931034483	0.317241379310345
146	-0.253424657534247	0.23972602739726	-0.328767123287671	0.328767123287671
147	-0.244897959183673	0.244897959183673	-0.326530612244898	0.319727891156463
148	-0.243243243243243	0.25	-0.324324324324324	0.317567567567568
149	-0.248322147651007	0.248322147651007	-0.322147651006711	0.322147651006711
150	-0.246666666666667	0.246666666666667	-0.313333333333333	0.32
151	-0.251655629139073	0.245033112582781	-0.317880794701987	0.317880794701987
152	-0.25	0.243421052631579	-0.322368421052632	0.315789473684211
153	-0.241830065359477	0.241830065359477	-0.320261437908497	0.313725490196078
154	-0.246753246753247	0.246753246753247	-0.305194805194805	0.311688311688312
155	-0.245161290322581	0.238709677419355	-0.316129032258064	0.316129032258065
156	-0.25	0.243589743589744	-0.32051282051282	0.326923076923077
157	-0.235668789808917	0.24203821656051	-0.312101910828025	0.318471337579618
158	-0.246835443037975	0.240506329113924	-0.322784810126582	0.322784810126582
159	-0.245283018867924	0.245283018867924	-0.320754716981132	0.320754716981132
160	-0.25	0.24375	-0.31875	0.3125
161	-0.242236024844721	0.248447204968944	-0.316770186335404	0.322981366459627
162	-0.240740740740741	0.240740740740741	-0.320987654320988	0.314814814814815
163	-0.245398773006135	0.245398773006135	-0.312883435582822	0.319018404907976
164	-0.24390243902439	0.24390243902439	-0.317073170731707	0.323170731707317
165	-0.248484848484848	0.242424242424242	-0.327272727272727	0.321212121212121
166	-0.240963855421687	0.246987951807229	-0.319277108433735	0.319277108433735
167	-0.245508982035928	0.251497005988024	-0.317365269461078	0.317365269461078
168	-0.244047619047619	0.238095238095238	-0.30952380952381	0.31547619047619
169	-0.242603550295858	0.242603550295858	-0.319526627218935	0.313609467455621
170	-0.252941176470588	0.247058823529412	-0.317647058823529	0.305882352941176
171	-0.239766081871345	0.239766081871345	-0.309941520467836	0.315789473684211
172	-0.25	0.238372093023256	-0.319767441860465	0.313953488372093
173	-0.248554913294798	0.236994219653179	-0.323699421965318	0.323699421965318
174	-0.235632183908046	0.241379310344828	-0.316091954022988	0.316091954022989
175	-0.24	0.245714285714286	-0.325714285714286	0.331428571428571
176	-0.244318181818182	0.244318181818182	-0.318181818181818	0.318181818181818
177	-0.23728813559322	0.242937853107345	-0.310734463276836	0.31638418079096
178	-0.247191011235955	0.235955056179775	-0.325842696629213	0.303370786516854
179	-0.240223463687151	0.240223463687151	-0.312849162011173	0.307262569832402
180	-0.238888888888889	0.244444444444444	-0.316666666666667	0.322222222222222
181	-0.243093922651934	0.243093922651934	-0.325966850828729	0.320441988950276
182	-0.241758241758242	0.247252747252747	-0.307692307692308	0.318681318681319
183	-0.245901639344262	0.240437158469945	-0.322404371584699	0.311475409836066
184	-0.239130434782609	0.239130434782609	-0.309782608695652	0.320652173913043
185	-0.243243243243243	0.243243243243243	-0.313513513513513	0.32972972972973
186	-0.241935483870968	0.236559139784946	-0.311827956989247	0.311827956989247
187	-0.240641711229947	0.240641711229947	-0.320855614973262	0.310160427807487
188	-0.23936170212766	0.23936170212766	-0.319148936170213	0.313829787234043
189	-0.248677248677249	0.243386243386243	-0.328042328042328	0.317460317460317
190	-0.236842105263158	0.242105263157895	-0.305263157894737	0.310526315789474
191	-0.240837696335078	0.240837696335079	-0.31413612565445	0.319371727748691
192	-0.234375	0.239583333333333	-0.307291666666667	0.317708333333333
193	-0.238341968911917	0.243523316062176	-0.310880829015544	0.305699481865285
194	-0.237113402061856	0.242268041237113	-0.309278350515464	0.309278350515464
195	-0.241025641025641	0.241025641025641	-0.317948717948718	0.317948717948718
196	-0.244897959183673	0.23469387755102	-0.316326530612245	0.311224489795918
197	-0.238578680203046	0.243654822335025	-0.309644670050761	0.309644670050761
198	-0.237373737373737	0.242424242424242	-0.313131313131313	0.318181818181818
199	-0.241206030150754	0.246231155778895	-0.321608040201005	0.326633165829146
200	-0.245	0.24	-0.33	0.31
